기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,avg_price,gu,lat,lon
20244,A,골목상권,3110001,이북5도청사,CS100001,한식음식점,570736922,15066,37882.4453736891,종로구,37.609517,126.957665
20244,A,골목상권,3110002,독립문역 1번,CS100001,한식음식점,636182302,22160,28708.587635379063,종로구,37.575747,126.957209
20244,A,골목상권,3110002,독립문역 1번,CS100010,커피-음료,52689606,6343,8306.732776288822,종로구,37.575747,126.957209
20244,A,골목상권,3110003,세검정초등학교,CS100001,한식음식점,124488406,3801,32751.48802946593,종로구,37.603553,126.959107
20244,A,골목상권,3110003,세검정초등학교,CS100010,커피-음료,30580207,4031,7586.258248573555,종로구,37.603553,126.959107
20244,A,골목상권,3110004,대신고등학교,CS100001,한식음식점,637534333,9453,67442.54025177192,종로구,37.573181,126.960572
20244,A,골목상권,3110005,세검정,CS100001,한식음식점,387274738,8105,47782.2008636644,종로구,37.600923,126.962494
20244,A,골목상권,3110006,부암동주민센터,CS100010,커피-음료,61513696,4605,13358.023018458198,종로구,37.591985,126.962646
20244,A,골목상권,3110007,사직공원(한국사회과학도서관),CS100001,한식음식점,36772584,91,404094.3296703297,종로구,37.573966,126.964851
20244,A,골목상권,3110007,사직공원(한국사회과학도서관),CS100010,커피-음료,2712912,225,12057.386666666667,종로구,37.573966,126.964851
20244,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100001,한식음식점,949003403,24670,38467.912565869476,종로구,37.580309,126.96709
20244,A,골목상권,3110008,배화여자대학교(박노수미술관),CS100010,커피-음료,2224240602,162475,13689.740587782735,종로구,37.580309,126.96709
20244,A,골목상권,3110009,자하문터널,CS100001,한식음식점,502202277,7810,64302.46824583867,종로구,37.595076,126.965928
20244,A,골목상권,3110009,자하문터널,CS100010,커피-음료,192650250,8322,23149.51333813987,종로구,37.595076,126.965928
20244,A,골목상권,3110009,자하문터널,CS300001,슈퍼마켓,64332962,5993,10734.684131486734,종로구,37.595076,126.965928
20244,A,골목상권,3110010,평창동서측,CS100001,한식음식점,28630500,1664,17205.829326923078,종로구,37.609366,126.966748
20244,A,골목상권,3110010,평창동서측,CS100010,커피-음료,104826980,15908,6589.576313804375,종로구,37.609366,126.966748
20244,A,골목상권,3110010,평창동서측,CS300001,슈퍼마켓,795949168,43885,18137.15775321864,종로구,37.609366,126.966748
20244,A,골목상권,3110012,성곡미술관,CS100001,한식음식점,1005811091,20153,49908.752592666104,종로구,37.573309,126.969345
20244,A,골목상권,3110012,성곡미술관,CS100010,커피-음료,514866879,41864,12298.559120007643,종로구,37.573309,126.969345
20244,A,골목상권,3110012,성곡미술관,CS300002,편의점,270674735,41980,6447.706884230586,종로구,37.573309,126.969345
20244,A,골목상권,3110013,체부동홍종문가옥,CS100010,커피-음료,42881474,2882,14879.068008327551,종로구,37.578364,126.969887
20244,A,골목상권,3110014,경복고등학교,CS100001,한식음식점,486824649,11197,43478.132446190946,종로구,37.585122,126.971514
20244,A,골목상권,3110014,경복고등학교,CS100010,커피-음료,18028716,1891,9533.958751983078,종로구,37.585122,126.971514
20244,A,골목상권,3110015,청와대사랑채,CS100010,커피-음료,267624275,21768,12294.389700477766,종로구,37.582158,126.972659
20244,A,골목상권,3110016,평창동동측,CS100001,한식음식점,122180211,2476,49345.804119547654,종로구,37.612945,126.975389
20244,A,골목상권,3110016,평창동동측,CS100010,커피-음료,70156287,3540,19818.160169491526,종로구,37.612945,126.975389
20244,A,골목상권,3110016,평창동동측,CS300002,편의점,65374699,7982,8190.265472312703,종로구,37.612945,126.975389
20244,A,골목상권,3110017,정독도서관,CS100001,한식음식점,33598114,192,174990.17708333334,종로구,37.583584,126.983935
20244,A,골목상권,3110017,정독도서관,CS100010,커피-음료,56534679,2144,26368.786847014926,종로구,37.583584,126.983935
20244,A,골목상권,3110018,중앙고등학교,CS100001,한식음식점,1006162812,16060,62650.23735990038,종로구,37.582764,126.987354
20244,A,골목상권,3110018,중앙고등학교,CS100010,커피-음료,275393543,24837,11088.035712847768,종로구,37.582764,126.987354
20244,A,골목상권,3110018,중앙고등학교,CS300001,슈퍼마켓,317075,95,3337.6315789473683,종로구,37.582764,126.987354
20244,A,골목상권,3110019,창덕궁,CS100001,한식음식점,304223461,8682,35040.71193273439,종로구,37.575881,126.991193
20244,A,골목상권,3110019,창덕궁,CS100010,커피-음료,560660471,44382,12632.609413726286,종로구,37.575881,126.991193
20244,A,골목상권,3110019,창덕궁,CS300001,슈퍼마켓,1000481,85,11770.364705882354,종로구,37.575881,126.991193
20244,A,골목상권,3110020,서울국제고등학교,CS100001,한식음식점,1110495945,81584,13611.687892233771,종로구,37.588279,126.995448
20244,A,골목상권,3110020,서울국제고등학교,CS100010,커피-음료,71662178,25853,2771.909565621011,종로구,37.588279,126.995448
20244,A,골목상권,3110020,서울국제고등학교,CS300001,슈퍼마켓,786133270,82263,9556.340882292161,종로구,37.588279,126.995448
20244,A,골목상권,3110020,서울국제고등학교,CS300002,편의점,187473358,37393,5013.59500441259,종로구,37.588279,126.995448
20244,A,골목상권,3110021,성균관대학교,CS100001,한식음식점,790702324,26534,29799.590110801237,종로구,37.58354,126.997271
20244,A,골목상권,3110021,성균관대학교,CS100010,커피-음료,381683175,57041,6691.382952613033,종로구,37.58354,126.997271
20244,A,골목상권,3110021,성균관대학교,CS300002,편의점,374950716,66206,5663.394798054557,종로구,37.58354,126.997271
20244,A,골목상권,3110022,경신고등학교,CS100001,한식음식점,189370547,5966,31741.627053302043,종로구,37.587053,126.999106
20244,A,골목상권,3110022,경신고등학교,CS100010,커피-음료,83182212,8169,10182.6676459787,종로구,37.587053,126.999106
20244,A,골목상권,3110023,서울대병원,CS100001,한식음식점,514810244,27755,18548.378454332553,종로구,37.578935,127.001574
20244,A,골목상권,3110023,서울대병원,CS100010,커피-음료,563501517,108178,5209.021399914955,종로구,37.578935,127.001574
20244,A,골목상권,3110024,혜회동주민센터,CS100001,한식음식점,1627954748,50069,32514.225329045916,종로구,37.587288,127.00137
20244,A,골목상권,3110024,혜회동주민센터,CS100010,커피-음료,111245611,9818,11330.781320024445,종로구,37.587288,127.00137
20244,A,골목상권,3110025,충신시장옆,CS100001,한식음식점,428146744,14813,28903.445892121785,종로구,37.574863,127.004189
20244,A,골목상권,3110027,혜화역 1번,CS100001,한식음식점,142781055,4183,34133.649294764524,종로구,37.582116,127.00574
20244,A,골목상권,3110027,혜화역 1번,CS100010,커피-음료,121311629,16039,7563.540682087412,종로구,37.582116,127.00574
20244,A,골목상권,3110028,이화달팽이길,CS100001,한식음식점,427931531,18922,22615.554962477538,종로구,37.576503,127.006509
20244,A,골목상권,3110028,이화달팽이길,CS100010,커피-음료,62327690,4965,12553.411883182276,종로구,37.576503,127.006509
20244,A,골목상권,3110028,이화달팽이길,CS300001,슈퍼마켓,163148265,17673,9231.498047869633,종로구,37.576503,127.006509
20244,A,골목상권,3110028,이화달팽이길,CS300002,편의점,3045898769,442015,6890.939830096264,종로구,37.576503,127.006509
20244,A,골목상권,3110029,동대문역 1번,CS100001,한식음식점,444648349,9280,47914.692780172416,종로구,37.576124,127.010573
20244,A,골목상권,3110029,동대문역 1번,CS100010,커피-음료,419314,88,4764.931818181818,종로구,37.576124,127.010573
20244,A,골목상권,3110029,동대문역 1번,CS300001,슈퍼마켓,1716556971,127171,13498.022119822916,종로구,37.576124,127.010573
20244,A,골목상권,3110030,동대문역 3번,CS100001,한식음식점,352457959,9655,36505.226204039354,종로구,37.573448,127.012033
20244,A,골목상권,3110032,수족관거리,CS100001,한식음식점,115150772,2248,51223.65302491103,종로구,37.570474,127.014953
20244,A,골목상권,3110033,창신역 4번,CS100001,한식음식점,310415260,13305,23330.722284855317,종로구,37.57761,127.016653
20244,A,골목상권,3110034,창신1동주민센터,CS100001,한식음식점,110747578,3608,30695.004988913526,종로구,37.570636,127.01707
20244,A,골목상권,3110035,동묘앞역 2번,CS100001,한식음식점,423640880,20147,21027.491934283018,종로구,37.575456,127.019233
20244,A,골목상권,3110035,동묘앞역 2번,CS100010,커피-음료,66018340,17646,3741.2637424912164,종로구,37.575456,127.019233
20244,A,골목상권,3110035,동묘앞역 2번,CS300001,슈퍼마켓,138788579,17885,7760.0547386077715,종로구,37.575456,127.019233
20244,A,골목상권,3110036,동묘앞역 3번,CS100001,한식음식점,186855547,4100,45574.523658536586,종로구,37.57305,127.020184
20244,A,골목상권,3110037,신설동역 12번,CS100001,한식음식점,301703193,13124,22988.661459920757,종로구,37.577978,127.022064
20244,A,골목상권,3110037,신설동역 12번,CS100010,커피-음료,6125753,1324,4626.70166163142,종로구,37.577978,127.022064
20244,A,골목상권,3110037,신설동역 12번,CS300002,편의점,393511706,60131,6544.240175616571,종로구,37.577978,127.022064
20244,A,골목상권,3110038,경향신문사,CS100001,한식음식점,1698648336,57837,29369.578920068467,중구,37.566885,126.968907
20244,A,골목상권,3110038,경향신문사,CS100010,커피-음료,794200026,143624,5529.716662953267,중구,37.566885,126.968907
20244,A,골목상권,3110038,경향신문사,CS300001,슈퍼마켓,150000000,29091,5156.233886769104,중구,37.566885,126.968907
20244,A,골목상권,3110038,경향신문사,CS300002,편의점,434876300,51042,8519.969828768466,중구,37.566885,126.968907
20244,A,골목상권,3110039,회현역 1번,CS100001,한식음식점,267033243,12610,21176.307930214116,중구,37.558229,126.980816
20244,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),CS100001,한식음식점,361150332,10924,33060.26473819114,중구,37.55613,126.982118
20244,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),CS100010,커피-음료,119182676,12829,9290.098682672071,중구,37.55613,126.982118
20244,A,골목상권,3110040,중구회현체육센터(정화예술대남산캠퍼스),CS300001,슈퍼마켓,132000000,12601,10475.359098484247,중구,37.55613,126.982118
20244,A,골목상권,3110041,남산케이블카,CS100001,한식음식점,4212546767,102717,41011.19354147804,중구,37.556401,126.984823
20244,A,골목상권,3110041,남산케이블카,CS100010,커피-음료,242197156,17772,13628.019131217645,중구,37.556401,126.984823
20244,A,골목상권,3110041,남산케이블카,CS300001,슈퍼마켓,347735001,47104,7382.281780740489,중구,37.556401,126.984823
20244,A,골목상권,3110041,남산케이블카,CS300002,편의점,93540698,14349,6518.969823681093,중구,37.556401,126.984823
20244,A,골목상권,3110042,남산골공원옆,CS100001,한식음식점,373471686,10619,35170.13711272248,중구,37.556582,126.995077
20244,A,골목상권,3110043,충무초등학교,CS100001,한식음식점,591595819,17513,33780.38137383658,중구,37.560564,127.001019
20244,A,골목상권,3110043,충무초등학교,CS100010,커피-음료,88465443,15251,5800.632286407449,중구,37.560564,127.001019
20244,A,골목상권,3110043,충무초등학교,CS300001,슈퍼마켓,11464998,3052,3756.5524246395807,중구,37.560564,127.001019
20244,A,골목상권,3110043,충무초등학교,CS300002,편의점,767962447,117083,6559.128541291221,중구,37.560564,127.001019
20244,A,골목상권,3110044,관성묘,CS100001,한식음식점,585521663,7697,76071.41262829673,중구,37.561213,127.003328
20244,A,골목상권,3110045,동대문역사문화공원역 5번,CS100001,한식음식점,2338672979,76428,30599.688321034177,중구,37.562384,127.004912
20244,A,골목상권,3110045,동대문역사문화공원역 5번,CS100010,커피-음료,4086040,537,7609.01303538175,중구,37.562384,127.004912
20244,A,골목상권,3110045,동대문역사문화공원역 5번,CS300001,슈퍼마켓,769137386,105707,7276.125384317027,중구,37.562384,127.004912
20244,A,골목상권,3110048,장충동주민센터,CS100001,한식음식점,262326588,3915,67005.51417624521,중구,37.560996,127.008477
20244,A,골목상권,3110048,장충동주민센터,CS100010,커피-음료,8519993,1497,5691.378089512358,중구,37.560996,127.008477
20244,A,골목상권,3110048,장충동주민센터,CS300001,슈퍼마켓,1077251088,54568,19741.44348336021,중구,37.560996,127.008477
20244,A,골목상권,3110049,장충단 고개,CS100001,한식음식점,2199503461,28218,77946.82333971224,중구,37.557527,127.010163
20244,A,골목상권,3110049,장충단 고개,CS100010,커피-음료,146697247,16938,8660.836403353407,중구,37.557527,127.010163
20244,A,골목상권,3110049,장충단 고개,CS300001,슈퍼마켓,955978907,76599,12480.305317301792,중구,37.557527,127.010163
20244,A,골목상권,3110050,약수역 7번,CS100001,한식음식점,1106709649,43642,25358.820608588056,중구,37.552365,127.009823
20244,A,골목상권,3110051,한양공고앞 교차로,CS100001,한식음식점,207694673,5689,36508.116189136934,중구,37.563717,127.011285
20244,A,골목상권,3110051,한양공고앞 교차로,CS100010,커피-음료,315790,38,8310.263157894737,중구,37.563717,127.011285
20244,A,골목상권,3110052,장충초등학교,CS100001,한식음식점,1554860422,36061,43117.50705748593,중구,37.559581,127.012767
20244,A,골목상권,3110053,청구역 1번,CS100001,한식음식점,471600481,11066,42617.068588469185,중구,37.561915,127.012654
20244,A,골목상권,3110053,청구역 1번,CS300001,슈퍼마켓,176413616,15995,11029.29765551735,중구,37.561915,127.012654
20244,A,골목상권,3110053,청구역 1번,CS300002,편의점,846125914,116025,7292.617229045464,중구,37.561915,127.012654
20244,A,골목상권,3110054,청구역 3번,CS100001,한식음식점,892350493,20440,43657.06912915851,중구,37.556779,127.013287
20244,A,골목상권,3110054,청구역 3번,CS100010,커피-음료,276067802,30866,8944.074450852071,중구,37.556779,127.013287
20244,A,골목상권,3110054,청구역 3번,CS300002,편의점,359876750,53568,6718.1292936081245,중구,37.556779,127.013287
20244,A,골목상권,3110055,황학동벼룩시장,CS100001,한식음식점,207379315,6230,33287.20947030497,중구,37.569879,127.018587
20244,A,골목상권,3110056,신당역 3번,CS100001,한식음식점,2217947080,36103,61433.871977398,중구,37.562851,127.020996
20244,A,골목상권,3110056,신당역 3번,CS100010,커피-음료,104460486,13247,7885.595682041217,중구,37.562851,127.020996
20244,A,골목상권,3110056,신당역 3번,CS300001,슈퍼마켓,817422656,75331,10851.079316616002,중구,37.562851,127.020996
20244,A,골목상권,3110057,황학코아루아파트,CS100001,한식음식점,1600192042,22492,71144.94229059221,중구,37.566301,127.022785
20244,A,골목상권,3110057,황학코아루아파트,CS100010,커피-음료,37002747,4490,8241.146325167038,중구,37.566301,127.022785
20244,A,골목상권,3110057,황학코아루아파트,CS300001,슈퍼마켓,110015533,13353,8239.012431663297,중구,37.566301,127.022785
20244,A,골목상권,3110058,성심여자고등학교,CS100001,한식음식점,567777979,18178,31234.3480580922,용산구,37.532714,126.954167
20244,A,골목상권,3110058,성심여자고등학교,CS100010,커피-음료,94439542,11341,8327.267613085265,용산구,37.532714,126.954167
20244,A,골목상권,3110058,성심여자고등학교,CS300002,편의점,222049152,30680,7237.5864406779665,용산구,37.532714,126.954167
20244,A,골목상권,3110059,새남터성지,CS100001,한식음식점,52938528,2549,20768.351510396235,용산구,37.52575,126.955699
20244,A,골목상권,3110059,새남터성지,CS100010,커피-음료,40994738,3445,11899.778809869376,용산구,37.52575,126.955699
20244,A,골목상권,3110059,새남터성지,CS300001,슈퍼마켓,149985424,9850,15226.946598984772,용산구,37.52575,126.955699
20244,A,골목상권,3110060,효창공원앞역 6번,CS100001,한식음식점,231486058,4466,51832.97313031796,용산구,37.538248,126.958577
20244,A,골목상권,3110060,효창공원앞역 6번,CS100010,커피-음료,51690064,5211,9919.41354826329,용산구,37.538248,126.958577
20244,A,골목상권,3110060,효창공원앞역 6번,CS300001,슈퍼마켓,1746623849,99785,17503.87181440096,용산구,37.538248,126.958577
20244,A,골목상권,3110060,효창공원앞역 6번,CS300002,편의점,315751555,45748,6901.975059018973,용산구,37.538248,126.958577
20244,A,골목상권,3110061,효창동주민센터,CS100001,한식음식점,256772386,7339,34987.380569559886,용산구,37.542114,126.959367
20244,A,골목상권,3110061,효창동주민센터,CS100010,커피-음료,167775638,14969,11208.206159396086,용산구,37.542114,126.959367
20244,A,골목상권,3110061,효창동주민센터,CS300001,슈퍼마켓,575515394,67228,8560.650235021121,용산구,37.542114,126.959367
20244,A,골목상권,3110062,한강로동땡땡거리(은행나무길),CS100001,한식음식점,7202761326,101332,71080.81678048395,용산구,37.524987,126.962023
20244,A,골목상권,3110062,한강로동땡땡거리(은행나무길),CS100010,커피-음료,759094313,68664,11055.200876733077,용산구,37.524987,126.962023
20244,A,골목상권,3110063,효창공원앞역 5번,CS100001,한식음식점,2253058176,54433,41391.401833446624,용산구,37.537475,126.962684
