policy_id,policy_name,source_org,zip_codes,support_type,benefit_amount_manwon,benefit_period_months,benefit_desc,target_age_min,target_age_max,target_employment,target_education,target_income,target_marriage,target_no_house,extra_conditions,duplicate_limit,duplicate_with,apply_url,data_source,last_updated
P001,청년월세 한시 특별지원,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",월세지원,20,12,월 20만원씩 최대 12개월 지원,19,34,전체,전체,청년 본인 중위 60% 이하 + 원가구 100% 이하,전체,필수,"부모와 별도 거주, 청약통장 가입",same_type,P002,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/568000000347,온통청년+보조금24+사회보장정보원,2026-05-09
P002,서울시 청년 월세 지원,서울특별시,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",월세지원,20,12,월 20만원 범위에서 최대 12개월 지원,19,39,전체,전체,중위 150% 이하,전체,필수,"서울 거주 1인가구, 월세 60만원 이하, 보증금 8천만원 이하",same_type,P001,https://youth.seoul.go.kr,온통청년+보조금24,2026-05-09
P004,버팀목전세자금대출,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",전세대출,12000,24,"전세금 70~80% 이내 대출, 수도권 최대 1.2억(신혼 3억), 금리 연 2.1~2.9%",19,99,전체,전체,부부합산 연 5천만원 이하 (신혼 7.5천),전체,필수,"임차전용 85㎡ 이하, 단독세대주는 만 25세 이상",same_type,"P020,P021",https://www.gov.kr/portal/rcvfvrSvc/dtlEx/161300000076,보조금24+사회보장정보원,2026-05-09
P005,주거급여 (맞춤형 급여),국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",월세지원,35,12,지역별 기준 임대료 (서울 1인 35.2만원),19,99,전체,전체,중위 48% 이하,전체,임차가구만,"임차료 부담 시 지원, 일반 주거급여",strict,"P006,P007",https://www.gov.kr/portal/rcvfvrSvc/dtlEx,보조금24+사회보장정보원,2026-05-09
P006,주거안정 월세대출,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",월세대출,40,24,"월 40만원, 최대 960만원, 일반형 1.8% / 우대형 1.3%",19,35,전체,전체,부부합산 5천만원 이하 (우대형 따로),전체,필수,"보증금 1억 이하, 월세 60만원 이하",same_type,"P001,P002,P028",https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000025,보조금24+사회보장정보원,2026-05-09
P009,기초청년 주거급여(임차급여),서울특별시,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",월세지원,35,12,지역별 기준 임대료 (서울 1인 약 35만원),19,39,전체,전체,중위 48% 이하,전체,필수,기초생활보장 주거급여 수급자,strict,"P005,P010",https://youth.seoul.go.kr,온통청년,2026-05-09
P011,공공임대주택 공급,국토교통부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",공공임대,0,0,주변 시세 60~80% 임대 (※ 자치구별 모집공고는 LH 청약플러스에서 확인 필요),19,99,전체,전체,소득기준 충족,전체,필수,"청약, 자치구별 모집공고 확인 필요",strict,"P013,P024,P029,P030,P039,P040",https://apply.lh.or.kr,온통청년,2026-05-09
P013,청년안심주택 공급활성화(임차보증금 무이자지원),서울특별시,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",이자지원,6000,0,임차보증금 무이자 대출 (최대 6천만원),19,39,전체,전체,도시근로자 월평균 소득 100% 이하,전체,필수,청년안심주택 입주자,strict,"P011,P014",https://soco.seoul.go.kr,온통청년,2026-05-09
P017,생활안정자금 융자사업,고용노동부,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",대출,2000,0,주거비 등 생활안정 자금 저금리 융자,19,99,취업자,전체,월평균 소득 기준 이하,전체,전체,근로자 신용등급 등 별도 자격,none,,https://www.workdream.net,온통청년,2026-05-09
P018,주택금융공사 월세자금보증,한국주택금융공사,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740",보증,1152,24,"월세금 2년 환산 80%까지 보증, 최대 1,152만원",19,35,전체,전체,우대형: 무소득 또는 사회초년생 4천만원 이하 / 일반: 5천만원 이하,전체,전체,"보증금 1억 이하, 월세 60만원 이하",none,,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/116010000001,보조금24,2026-05-09
